"csv_question_id","answer_text","answer_image","is_correct","explanation"
1,"fagocytóza",NA,FALSE,
1,"anabióza",NA,TRUE,
1,"pinocytóza",NA,FALSE,
1,"aktivácia",NA,FALSE,
1,"depresia",NA,FALSE,
1,"redukcia",NA,FALSE,
1,"amitóza",NA,FALSE,
1,"konjugácia",NA,FALSE,
730,"výrastkami",NA,TRUE,
730,"mikroklkmi",NA,TRUE,
730,"mikroorganizmami",NA,FALSE,
730,"prenikaním telových tekutín",NA,FALSE,
730,"sekrečnými bunkami",NA,FALSE,
730,"baktériami",NA,FALSE,
731,"I. Mečnikov",NA,FALSE,
731,"T. Schwann",NA,FALSE,
731,"J.E. Purkyně",NA,TRUE,
731,"I.P. Pavlov",NA,FALSE,
731,"A. Vesalius",NA,FALSE,
731,"Ľ. Štúr",NA,FALSE,
731,"A.I. Oparin",NA,FALSE,
731,"L. Pasteur",NA,FALSE,
732,"pečeň",NA,TRUE,
732,"dvanástnik",NA,FALSE,
732,"slezina",NA,FALSE,
732,"oblička",NA,FALSE,
732,"podžalúdková žľaza",NA,FALSE,
732,"duodenum",NA,FALSE,
732,"slinivka brušná",NA,FALSE,
732,"hrubé črevo",NA,FALSE,
733,"nesúmerné",NA,FALSE,
733,"lúčovito súmerné",NA,FALSE,
733,"asymetricky súmerné",NA,FALSE,
733,"dvojstranne súmerné",NA,TRUE,
733,"radiálne súmerné",NA,FALSE,
733,"dvojstranne nesúmerné",NA,FALSE,
733,"guľovito súmerné",NA,FALSE,
733,"oválne súmerné",NA,FALSE,
734,"chrbtová struna",NA,TRUE,
734,"nervová trubica",NA,TRUE,
734,"žiabrové štrbiny alebo pľúca",NA,TRUE,
734,"srdce a zatvorená cievna sústava",NA,TRUE,
734,"dvojstranná súmernosť tela",NA,TRUE,
734,"zatvorená cievna sústava",NA,TRUE,
734,"obojpohlavnosť",NA,FALSE,
734,"jednostranná súmernosť",NA,FALSE,
